FEATURE_NAME,MEAN_ABS_SHAP,FEATURE_GROUP
D2_FP_184,0.000767311,FP
D1_FP_466,0.00076575053,FP
D2_FP_248,0.00074374164,FP
D1_FP_852,0.0007431666,FP
D2_FP_673,0.0007427583,FP
D2_FP_849,0.0007421941,FP
D1_FP_828,0.000741679,FP
D1_FP_325,0.0007403675,FP
D2_FP_519,0.0007388994,FP
D1_FP_933,0.00073640177,FP
D1_FP_323,0.00072999514,FP
MUT_cnaPANCAN245,0.0007279641,MUTATION
D1_FP_2,0.0007251528,FP
D1_FP_29,0.00072389503,FP
D1_FP_293,0.0007237144,FP
D1_FP_210,0.00072115805,FP
D1_FP_767,0.0007181876,FP
D1_FP_375,0.0007162305,FP
D2_FP_758,0.0007147662,FP
D2_FP_136,0.0007126005,FP
D1_FP_974,0.0007065359,FP
D2_FP_583,0.00070491346,FP
D2_FP_573,0.00068773516,FP
D1_FP_536,0.00067863596,FP
D2_FP_725,0.00067522825,FP
D2_FP_401,0.00067455415,FP
D2_FP_652,0.00067058747,FP
D1_FP_27,0.0006659584,FP
D1_FP_973,0.0006576624,FP
D1_FP_650,0.00064983557,FP
D1_FP_361,0.00064942014,FP
D1_FP_200,0.00064789905,FP
D2_FP_31,0.0006464376,FP
D2_FP_464,0.0006445698,FP
D2_FP_281,0.0006421909,FP
D2_FP_311,0.0006267197,FP
MUT_cnaPANCAN366,0.00062391366,MUTATION
D1_FP_730,0.0006232244,FP
